Coupon,ISIN,Issue Date,Maturity Date
9.750%,CA135087UE28,5/9/1991,6/1/2021
1.250%,CA135087K452,8/9/2019,11/1/2021
1.500%,CA135087D929,10/14/2014,3/1/2020
1.500%,CA135087K296,5/6/2019,8/1/2021
1.500%,CA135087K601,11/4/2019,2/1/2022
0.500%,CA135087G328,10/11/2016,3/1/2022
2.750%,CA135087ZU15,8/2/2011,6/1/2022
0.750%,CA135087F585,4/11/2016,9/1/2021
3.250%,CA135087ZJ69,7/19/2010,6/1/2021
1.750%,CA135087J884,2/11/2019,5/1/2021
0.750%,CA135087E596,4/13/2015,9/1/2020
1.250%,CA135087H565,11/3/2017,2/1/2020
2.250%,CA135087J629,11/9/2018,2/1/2021
10.500%,CA135087TZ75,12/15/1990,3/15/2021
9.250%,CA135087UM44,12/15/1991,6/1/2022
0.750%,CA135087F254,10/19/2015,3/1/2021
3.500%,CA135087YZ11,9/8/2009,6/1/2020
2.500%,CA135087B451,7/2/2013,6/1/2024
2.250%,CA135087J397,7/27/2018,6/1/2029
8.000%,CA135087UT96,8/17/1992,6/1/2023
5.750%,CA135087WL43,2/2/1998,6/1/2029
1.000%,CA135087F825,8/3/2016,6/1/2027
2.000%,CA135087H235,8/1/2017,6/1/2028
9.000%,CA135087VH40,8/2/1994,6/1/2025
1.500%,CA135087E679,7/21/2015,6/1/2026
1.250%,CA135087K528,10/11/2019,3/1/2025
1.750%,CA135087H490,10/6/2017,3/1/2023
1.500%,CA135087J967,4/5/2019,9/1/2024
2.250%,CA135087D507,6/30/2014,6/1/2025
8.000%,CA135087VW17,5/1/1996,6/1/2027
1.500%,CA135087A610,7/30/2012,6/1/2023
2.250%,CA135087J546,10/5/2018,3/1/2024
